timestamp,datetime,mid_price,volatility,kappa,A,gamma,optimal_spread_bps,bid_spread_bps,ask_spread_bps,bid_price,ask_price,reservation_price
1763900209131,N/A,2835.750,0.000052,5.24,0.01,0.10,15.16,7.58,7.58,2833.60,2837.90,2835.75
1763900269131,N/A,2844.850,0.000055,5.48,0.01,0.10,16.73,8.36,8.36,2842.47,2847.23,2844.85
1763900329229,N/A,2841.250,0.000058,5.41,0.01,0.10,18.51,9.25,9.25,2838.62,2843.88,2841.25
1763900389331,N/A,2838.950,0.000059,3.50,0.00,0.10,19.93,9.96,9.96,2836.12,2841.78,2838.95
1763900449428,N/A,2841.250,0.000060,3.28,0.00,0.10,20.69,10.34,10.34,2838.31,2844.19,2841.25
1763900509528,N/A,2842.150,0.000061,3.34,0.00,0.10,20.97,10.48,10.48,2839.17,2845.13,2842.15
1763900569528,N/A,2837.850,0.000062,3.42,0.00,0.10,21.56,10.78,10.78,2834.79,2840.91,2837.85
1763900629630,N/A,2838.150,0.000062,3.42,0.00,0.10,21.70,10.85,10.85,2835.07,2841.23,2838.15
1763900689632,N/A,2836.950,0.000062,3.43,0.00,0.10,21.85,10.92,10.92,2833.85,2840.05,2836.95
1763900749744,N/A,2836.950,0.000062,3.43,0.00,0.10,21.92,10.96,10.96,2833.84,2840.06,2836.95
1763900809828,N/A,2834.150,0.000062,3.43,0.00,0.10,21.80,10.90,10.90,2831.06,2837.24,2834.15
1763900869928,N/A,2835.250,0.000062,3.42,0.00,0.10,21.65,10.82,10.82,2832.18,2838.32,2835.25
1763900929928,N/A,2835.950,0.000062,3.42,0.00,0.10,21.58,10.79,10.79,2832.89,2839.01,2835.95
1763900989928,N/A,2834.750,0.000062,3.41,0.00,0.10,21.44,10.72,10.72,2831.71,2837.79,2834.75
1763901049930,N/A,2831.250,0.000062,3.42,0.00,0.10,21.89,10.94,10.94,2828.15,2834.35,2831.25
1763901109930,N/A,2831.350,0.000062,3.42,0.00,0.10,21.61,10.80,10.80,2828.29,2834.41,2831.35
1763901170031,N/A,2832.650,0.000062,3.41,0.00,0.10,21.95,10.97,10.97,2829.54,2835.76,2832.65
1763901230131,N/A,2831.850,0.000063,3.36,0.00,0.10,22.17,11.08,11.08,2828.71,2834.99,2831.85
1763901290133,N/A,2831.950,0.000063,3.35,0.00,0.10,22.10,11.05,11.05,2828.82,2835.08,2831.95
1763901350137,N/A,2832.350,0.000063,3.47,0.00,0.10,22.10,11.05,11.05,2829.22,2835.48,2832.35
1763901410232,N/A,2840.150,0.000066,2.70,0.00,0.10,24.71,12.35,12.35,2836.64,2843.66,2840.15
1763901470328,N/A,2836.950,0.000067,2.74,0.00,0.10,25.59,12.79,12.79,2833.32,2840.58,2836.95
1763901530328,N/A,2836.450,0.000067,2.75,0.00,0.10,25.73,12.86,12.86,2832.80,2840.10,2836.45
1763901590328,N/A,2835.950,0.000067,2.76,0.00,0.10,25.74,12.87,12.87,2832.30,2839.60,2835.95
1763901650328,N/A,2834.250,0.000068,2.76,0.00,0.10,25.89,12.94,12.94,2830.58,2837.92,2834.25
1763901710328,N/A,2832.950,0.000068,2.79,0.00,0.10,26.12,13.06,13.06,2829.25,2836.65,2832.95
1763901770431,N/A,2833.050,0.000068,2.78,0.00,0.10,26.12,13.06,13.06,2829.35,2836.75,2833.05
1763901830627,N/A,2832.850,0.000068,2.76,0.00,0.10,26.19,13.09,13.09,2829.14,2836.56,2832.85
1763901890629,N/A,2834.450,0.000068,2.76,0.00,0.10,26.17,13.08,13.08,2830.74,2838.16,2834.45
1763901950728,N/A,2835.650,0.000068,2.72,0.00,0.10,26.51,13.25,13.25,2831.89,2839.41,2835.65
1763902010728,N/A,2835.850,0.000069,2.73,0.00,0.10,26.79,13.39,13.39,2832.05,2839.65,2835.85
1763902070728,N/A,2832.950,0.000069,2.72,0.00,0.10,27.03,13.51,13.51,2829.12,2836.78,2832.95
1763902130731,N/A,2831.250,0.000069,2.72,0.00,0.10,27.05,13.52,13.52,2827.42,2835.08,2831.25
1763902190731,N/A,2832.250,0.000069,2.68,0.00,0.10,26.76,13.38,13.38,2828.46,2836.04,2832.25
1763902250827,N/A,2834.250,0.000069,2.67,0.00,0.10,26.81,13.40,13.40,2830.45,2838.05,2834.25
1763902310828,N/A,2833.950,0.000069,2.67,0.00,0.10,26.74,13.37,13.37,2830.16,2837.74,2833.95
1763902370828,N/A,2835.750,0.000069,2.67,0.00,0.10,26.94,13.47,13.47,2831.93,2839.57,2835.75
